City,Rank,Sunshine hours(City),Cost of a bottle of water(City) EUR,Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score) (City),Annual avg. hours worked,Happiness levels(Country),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City)
Amsterdam,1,"1,858.00",£1.92,20.40%,81.20,30.93,"1,434.00",7.44,422.00,"1,048.00",£34.90
Sydney,2,"2,636.00",£1.48,29.00%,82.10,26.86,"1,712.00",7.22,406.00,"1,103.00",£41.66
Vienna,3,"1,884.00",£1.94,20.10%,81.00,17.33,"1,501.00",7.29,132.00,"1,008.00",£25.74
Stockholm,4,"1,821.00",£1.72,20.60%,81.80,19.63,"1,452.00",7.35,129.00,598.00,£37.31
Copenhagen,5,"1,630.00",£2.19,19.70%,79.80,21.24,"1,380.00",7.64,154.00,523.00,£32.53
Helsinki,6,"1,662.00",£1.60,22.20%,80.40,13.08,"1,540.00",7.80,113.00,309.00,£35.23
Fukuoka,7,"2,769.00",£0.78,4.30%,83.20,,"1,644.00",5.87,35.00,539.00,£55.87
Berlin,8,"1,626.00",£1.55,22.30%,80.60,39.41,"1,386.00",7.07,254.00,"1,729.00",£26.11
Barcelona,9,"2,591.00",£1.19,23.80%,82.20,65.19,"1,686.00",6.40,585.00,"2,344.00",£37.80
Vancouver,10,"1,938.00",£1.08,29.40%,81.70,24.26,"1,670.00",7.23,218.00,788.00,£31.04
Melbourne,11,"2,363.00",£1.57,29.00%,82.10,25.90,"1,712.00",7.22,243.00,813.00,£36.89
Beijing,12,"2,671.00",£0.26,6.20%,75.40,85.43,,5.12,223.00,261.00,£38.62
Bangkok,13,"2,624.00",£0.22,10.00%,74.10,76.64,,5.99,377.00,"1,796.00",£50.03
Buenos Aires,14,"2,525.00",£0.57,28.30%,75.90,52.64,,5.97,246.00,"1,435.00",£22.45
Toronto,15,"2,066.00",£1.09,29.40%,81.70,37.83,"1,670.00",7.23,174.00,"1,656.00",£32.64
Madrid,16,"2,769.00",£1.30,23.80%,82.20,52.68,"1,686.00",6.40,216.00,"2,491.00",£34.54
Jakarta,17,"2,983.00",£0.21,6.90%,68.50,84.39,,5.28,114.00,833.00,£29.94
Seoul,18,"2,066.00",£0.59,4.70%,81.30,57.82,"1,967.00",5.87,144.00,389.00,£43.03
Frankfurt,19,"1,662.00",£1.95,22.30%,80.60,37.78,"1,386.00",7.07,23.00,551.00,£39.01
Geneva,20,,£2.62,19.50%,82.60,27.25,"1,557.00",7.56,44.00,444.00,£70.00
Tel Aviv,21,"3,311.00",£1.63,26.10%,81.90,47.28,"1,898.00",7.12,139.00,420.00,£58.31
Istanbul,22,"2,218.00",£0.15,32.10%,74.70,69.49,"1,832.00",5.13,419.00,934.00,£16.97
Cairo,23,"3,542.00",£0.16,32.00%,70.70,91.74,,4.15,323.00,250.00,£23.25
Taipei,24,"1,405.00",£0.57,6.20%,75.40,49.32,,5.12,134.00,717.00,£34.76
Los Angeles,25,"3,254.00",£1.52,36.20%,78.80,66.07,"1,779.00",6.94,223.00,"1,439.00",£32.00
Mumbai,26,"2,584.00",£0.15,3.90%,67.30,82.84,,3.57,187.00,"1,183.00",£19.54
Boston,27,"2,634.00",£1.39,36.20%,78.80,27.03,"1,779.00",6.94,88.00,588.00,£46.27
Dublin,28,"1,453.00",£1.40,25.30%,80.50,40.07,"1,772.00",7.09,159.00,659.00,£37.35
Tokyo,29,"1,877.00",£0.76,4.30%,83.20,42.84,"1,644.00",5.87,387.00,"5,802.00",£70.82
Chicago,30,"2,508.00",£1.20,36.20%,78.80,43.33,"1,779.00",6.94,171.00,"1,320.00",£41.14
Hong Kong,31,"1,836.00",£0.75,6.20%,75.40,67.46,,5.51,277.00,"1,257.00",£57.95
Shanghai,32,"1,776.00",£0.29,6.20%,75.40,77.40,,5.12,108.00,346.00,£44.68
Brussels,33,"1,546.00",£2.11,22.10%,80.40,62.67,"1,583.00",6.86,55.00,988.00,£25.34
San Francisco,34,"3,062.00",£1.60,36.20%,78.80,47.36,"1,779.00",6.94,242.00,"1,031.00",£65.13
Paris,35,"1,662.00",£1.95,21.60%,81.80,65.10,"1,505.00",6.66,331.00,"4,363.00",£35.93
Sao Paulo,36,"2,003.00",£0.44,22.10%,73.90,79.78,,6.37,158.00,"3,355.00",£16.07
Zurich,37,"1,566.00",£3.20,19.50%,82.60,17.31,"1,557.00",7.56,69.00,538.00,£73.11
London,38,"1,633.00",£1.16,27.80%,80.40,58.91,"1,538.00",7.16,433.00,"6,417.00",£42.71
Johannesburg,39,"3,124.00",£0.59,28.30%,56.30,61.83,,4.81,194.00,492.00,£24.28
Milan,40,"1,915.00",£1.15,19.90%,82.70,67.19,"1,718.00",6.38,110.00,"2,396.00",£53.49
"Washington, D.C.",41,"2,528.00",£1.45,36.20%,78.80,39.18,"1,779.00",6.94,83.00,744.00,£65.99
New York,42,"2,535.00",£1.32,36.20%,78.80,57.36,"1,779.00",6.94,359.00,"3,081.00",£64.66
Moscow,43,"1,901.00",£0.41,23.10%,69.50,57.63,"1,965.00",5.54,322.00,"3,206.00",£31.40
Mexico City,44,"2,555.00",£0.45,28.90%,76.40,82.78,"2,137.00",6.46,192.00,"1,313.00",£41.99
